_id,measure_id,measure_name,interval_type,value_type,measure_value,year_to_date_variance,budget_variance,decimal_accuracy,desired_direction,category,data_source_notes,city_perspective_note,year,period_number_in_year,target,note
135,1.13,Number of Personal Bankruptcies (Ontario),m,n,1368,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,3,NA,NA
136,1.13,Number of Personal Bankruptcies (Ontario),m,n,1338,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,4,NA,NA
137,1.13,Number of Personal Bankruptcies (Ontario),m,n,1422,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,5,NA,NA
138,1.13,Number of Personal Bankruptcies (Ontario),m,n,1265,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,6,NA,NA
139,1.13,Number of Personal Bankruptcies (Ontario),m,n,1222,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,7,NA,NA
140,1.13,Number of Personal Bankruptcies (Ontario),m,n,1202,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,8,NA,NA
141,1.13,Number of Personal Bankruptcies (Ontario),m,n,1166,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,9,NA,NA
142,1.13,Number of Personal Bankruptcies (Ontario),m,n,1292,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,10,NA,NA
143,1.13,Number of Personal Bankruptcies (Ontario),m,n,1212,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,11,NA,NA
144,1.13,Number of Personal Bankruptcies (Ontario),m,n,1083,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2018,12,NA,NA
145,1.13,Number of Personal Bankruptcies (Ontario),m,n,1004,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,1,NA,NA
146,1.13,Number of Personal Bankruptcies (Ontario),m,n,1026,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,2,NA,NA
147,1.13,Number of Personal Bankruptcies (Ontario),m,n,1234,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,3,NA,NA
148,1.13,Number of Personal Bankruptcies (Ontario),m,n,1287,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,4,NA,NA
149,1.13,Number of Personal Bankruptcies (Ontario),m,n,1456,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,5,NA,NA
150,1.13,Number of Personal Bankruptcies (Ontario),m,n,1220,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,6,NA,NA
151,1.13,Number of Personal Bankruptcies (Ontario),m,n,1255,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,7,NA,NA
152,1.13,Number of Personal Bankruptcies (Ontario),m,n,1227,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,8,NA,NA
153,1.13,Number of Personal Bankruptcies (Ontario),m,n,1256,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,9,NA,NA
154,1.13,Number of Personal Bankruptcies (Ontario),m,n,1308,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,10,NA,NA
155,1.13,Number of Personal Bankruptcies (Ontario),m,n,1158,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,11,NA,NA
156,1.13,Number of Personal Bankruptcies (Ontario),m,n,1146,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2019,12,NA,NA
157,1.13,Number of Personal Bankruptcies (Ontario),m,n,1063,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,1,NA,NA
158,1.13,Number of Personal Bankruptcies (Ontario),m,n,1011,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,2,NA,NA
159,1.13,Number of Personal Bankruptcies (Ontario),m,n,1061,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,3,NA,NA
160,1.13,Number of Personal Bankruptcies (Ontario),m,n,637,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,4,NA,NA
161,1.13,Number of Personal Bankruptcies (Ontario),m,n,592,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,5,NA,NA
162,1.13,Number of Personal Bankruptcies (Ontario),m,n,654,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,6,NA,NA
163,1.13,Number of Personal Bankruptcies (Ontario),m,n,643,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,7,NA,NA
164,1.13,Number of Personal Bankruptcies (Ontario),m,n,644,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,8,NA,NA
165,1.13,Number of Personal Bankruptcies (Ontario),m,n,693,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,9,NA,NA
166,1.13,Number of Personal Bankruptcies (Ontario),m,n,681,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,10,NA,NA
167,1.13,Number of Personal Bankruptcies (Ontario),m,n,747,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,11,NA,NA
168,1.13,Number of Personal Bankruptcies (Ontario),m,n,787,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2020,12,NA,NA
169,1.13,Number of Personal Bankruptcies (Ontario),m,n,549,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,1,NA,NA
170,1.13,Number of Personal Bankruptcies (Ontario),m,n,616,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,2,NA,NA
171,1.13,Number of Personal Bankruptcies (Ontario),m,n,757,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,3,NA,NA
172,1.13,Number of Personal Bankruptcies (Ontario),m,n,742,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,4,NA,NA
173,1.13,Number of Personal Bankruptcies (Ontario),m,n,658,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,5,NA,Low bankruptcy levels in line with national trend. Government supports still on going.
174,1.13,Number of Personal Bankruptcies (Ontario),m,n,685,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,6,NA,NA
175,1.13,Number of Personal Bankruptcies (Ontario),m,n,546,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,7,NA,NA
176,1.13,Number of Personal Bankruptcies (Ontario),m,n,570,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,8,NA,NA
177,1.13,Number of Personal Bankruptcies (Ontario),m,n,588,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,9,NA,Low bankruptcy levels in line with national trend. Government supports will end Oct 2021.
178,1.13,Number of Personal Bankruptcies (Ontario),m,n,585,0.05,NA,NA,Down,Community Vulnerability,Source: Industry Canada,,2021,10,NA,NA
